_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
6296	Direct power consumption of today from PV - Day 8		W	uint16be	1				value		false	false
6297	Direct power consumption of today from PV - Day 9		W	uint16be	1				value		false	false
6298	Direct power consumption of today from PV - Day 10		W	uint16be	1				value		false	false
6299	Direct power consumption of today from PV - Day 11		W	uint16be	1				value		false	false
6300	Direct power consumption of today from PV - Day 12		W	uint16be	1				value		false	false
6301	Direct power consumption of today from PV - Day 13		W	uint16be	1				value		false	false
6302	Direct power consumption of today from PV - Day 14		W	uint16be	1				value		false	false
6303	Direct power consumption of today from PV - Day 15		W	uint16be	1				value		false	false
6304	Direct power consumption of today from PV - Day 16		W	uint16be	1				value		false	false
6305	Direct power consumption of today from PV - Day 17		W	uint16be	1				value		false	false
6306	Direct power consumption of today from PV - Day 18		W	uint16be	1				value		false	false
6307	Direct power consumption of today from PV - Day 19		W	uint16be	1				value		false	false
6308	Direct power consumption of today from PV - Day 20		W	uint16be	1				value		false	false
6309	Direct power consumption of today from PV - Day 21		W	uint16be	1				value		false	false
6310	Direct power consumption of today from PV - Day 22		W	uint16be	1				value		false	false
6311	Direct power consumption of today from PV - Day 23		W	uint16be	1				value		false	false
6312	Direct power consumption of today from PV - Day 24		W	uint16be	1				value		false	false
6313	Direct power consumption of today from PV - Day 25		W	uint16be	1				value		false	false
6314	Direct power consumption of today from PV - Day 26		W	uint16be	1				value		false	false
6315	Direct power consumption of today from PV - Day 27		W	uint16be	1				value		false	false
6316	Direct power consumption of today from PV - Day 28		W	uint16be	1				value		false	false
6317	Direct power consumption of today from PV - Day 29		W	uint16be	1				value		false	false
6318	Direct power consumption of today from PV - Day 30		W	uint16be	1				value		false	false
6319	Direct power consumption of today from PV - Day 31		W	uint16be	1				value		false	false
6320	Direct power consumption of today from PV - Day 32		W	uint16be	1				value		false	false
6321	Direct power consumption of today from PV - Day 33		W	uint16be	1				value		false	false
6322	Direct power consumption of today from PV - Day 34		W	uint16be	1				value		false	false
6323	Direct power consumption of today from PV - Day 35		W	uint16be	1				value		false	false
6324	Direct power consumption of today from PV - Day 36		W	uint16be	1				value		false	false
6325	Direct power consumption of today from PV - Day 37		W	uint16be	1				value		false	false
6326	Direct power consumption of today from PV - Day 38		W	uint16be	1				value		false	false
6327	Direct power consumption of today from PV - Day 39		W	uint16be	1				value		false	false
6328	Direct power consumption of today from PV - Day 40		W	uint16be	1				value		false	false
6329	Direct power consumption of today from PV - Day 41		W	uint16be	1				value		false	false
6330	Direct power consumption of today from PV - Day 42		W	uint16be	1				value		false	false
6331	Direct power consumption of today from PV - Day 43		W	uint16be	1				value		false	false
6332	Direct power consumption of today from PV - Day 44		W	uint16be	1				value		false	false
6333	Direct power consumption of today from PV - Day 45		W	uint16be	1				value		false	false
6334	Direct power consumption of today from PV - Day 46		W	uint16be	1				value		false	false
6335	Direct power consumption of today from PV - Day 47		W	uint16be	1				value		false	false
6336	Direct power consumption of today from PV - Day 48		W	uint16be	1				value		false	false
6337	Direct power consumption of today from PV - Day 49		W	uint16be	1				value		false	false
6338	Direct power consumption of today from PV - Day 50		W	uint16be	1				value		false	false
6339	Direct power consumption of today from PV - Day 51		W	uint16be	1				value		false	false
6340	Direct power consumption of today from PV - Day 52		W	uint16be	1				value		false	false
6341	Direct power consumption of today from PV - Day 53		W	uint16be	1				value		false	false
6342	Direct power consumption of today from PV - Day 54		W	uint16be	1				value		false	false
6343	Direct power consumption of today from PV - Day 55		W	uint16be	1				value		false	false
6344	Direct power consumption of today from PV - Day 56		W	uint16be	1				value		false	false
6345	Direct power consumption of today from PV - Day 57		W	uint16be	1				value		false	false
6346	Direct power consumption of today from PV - Day 58		W	uint16be	1				value		false	false
6347	Direct power consumption of today from PV - Day 59		W	uint16be	1				value		false	false
6348	Direct power consumption of today from PV - Day 60		W	uint16be	1				value		false	false
6349	Direct power consumption of today from PV - Day 61		W	uint16be	1				value		false	false
6350	Direct power consumption of today from PV - Day 62		W	uint16be	1				value		false	false
6351	Direct power consumption of today from PV - Day 63		W	uint16be	1				value		false	false
6352	Direct power consumption of today from PV - Day 64		W	uint16be	1				value		false	false
6353	Direct power consumption of today from PV - Day 65		W	uint16be	1				value		false	false
6354	Direct power consumption of today from PV - Day 66		W	uint16be	1				value		false	false
6355	Direct power consumption of today from PV - Day 67		W	uint16be	1				value		false	false
6356	Direct power consumption of today from PV - Day 68		W	uint16be	1				value		false	false
6357	Direct power consumption of today from PV - Day 69		W	uint16be	1				value		false	false
6358	Direct power consumption of today from PV - Day 70		W	uint16be	1				value		false	false
6359	Direct power consumption of today from PV - Day 71		W	uint16be	1				value		false	false
6360	Direct power consumption of today from PV - Day 72		W	uint16be	1				value		false	false
6361	Direct power consumption of today from PV - Day 73		W	uint16be	1				value		false	false
6362	Direct power consumption of today from PV - Day 74		W	uint16be	1				value		false	false
6363	Direct power consumption of today from PV - Day 75		W	uint16be	1				value		false	false
6364	Direct power consumption of today from PV - Day 76		W	uint16be	1				value		false	false
6365	Direct power consumption of today from PV - Day 77		W	uint16be	1				value		false	false
6366	Direct power consumption of today from PV - Day 78		W	uint16be	1				value		false	false
6367	Direct power consumption of today from PV - Day 79		W	uint16be	1				value		false	false
6368	Direct power consumption of today from PV - Day 80		W	uint16be	1				value		false	false
6369	Direct power consumption of today from PV - Day 81		W	uint16be	1				value		false	false
6370	Direct power consumption of today from PV - Day 82		W	uint16be	1				value		false	false
6371	Direct power consumption of today from PV - Day 83		W	uint16be	1				value		false	false
6372	Direct power consumption of today from PV - Day 84		W	uint16be	1				value		false	false
6373	Direct power consumption of today from PV - Day 85		W	uint16be	1				value		false	false
6374	Direct power consumption of today from PV - Day 86		W	uint16be	1				value		false	false
6375	Direct power consumption of today from PV - Day 87		W	uint16be	1				value		false	false
6376	Direct power consumption of today from PV - Day 88		W	uint16be	1				value		false	false
6377	Direct power consumption of today from PV - Day 89		W	uint16be	1				value		false	false
6378	Direct power consumption of today from PV - Day 90		W	uint16be	1				value		false	false
6379	Direct power consumption of today from PV - Day 91		W	uint16be	1				value		false	false
6380	Direct power consumption of today from PV - Day 92		W	uint16be	1				value		false	false
6381	Direct power consumption of today from PV - Day 93		W	uint16be	1				value		false	false
6382	Direct power consumption of today from PV - Day 94		W	uint16be	1				value		false	false
6383	Direct power consumption of today from PV - Day 95		W	uint16be	1				value		false	false
6384	Direct power consumption of today from PV - Day 96		W	uint16be	1				value		false	false
6385	Daily direct energy consumption from PV - Day 1		kWh	uint16be	1	0.1			value		false	false
6386	Daily direct energy consumption from PV - Day 2		kWh	uint16be	1	0.1			value		false	false
6387	Daily direct energy consumption from PV - Day 3		kWh	uint16be	1	0.1			value		false	false
6388	Daily direct energy consumption from PV - Day 4		kWh	uint16be	1	0.1			value		false	false
6389	Daily direct energy consumption from PV - Day 5		kWh	uint16be	1	0.1			value		false	false
6390	Daily direct energy consumption from PV - Day 6		kWh	uint16be	1	0.1			value		false	false
6391	Daily direct energy consumption from PV - Day 7		kWh	uint16be	1	0.1			value		false	false
6392	Daily direct energy consumption from PV - Day 8		kWh	uint16be	1	0.1			value		false	false
6393	Daily direct energy consumption from PV - Day 9		kWh	uint16be	1	0.1			value		false	false
6394	Daily direct energy consumption from PV - Day 10		kWh	uint16be	1	0.1			value		false	false
6395	Daily direct energy consumption from PV - Day 11		kWh	uint16be	1	0.1			value		false	false
6396	Daily direct energy consumption from PV - Day 12		kWh	uint16be	1	0.1			value		false	false
6397	Daily direct energy consumption from PV - Day 13		kWh	uint16be	1	0.1			value		false	false
6398	Daily direct energy consumption from PV - Day 14		kWh	uint16be	1	0.1			value		false	false
6399	Daily direct energy consumption from PV - Day 15		kWh	uint16be	1	0.1			value		false	false
6400	Daily direct energy consumption from PV - Day 16		kWh	uint16be	1	0.1			value		false	false
6401	Daily direct energy consumption from PV - Day 17		kWh	uint16be	1	0.1			value		false	false
6402	Daily direct energy consumption from PV - Day 18		kWh	uint16be	1	0.1			value		false	false
6403	Daily direct energy consumption from PV - Day 19		kWh	uint16be	1	0.1			value		false	false
6404	Daily direct energy consumption from PV - Day 20		kWh	uint16be	1	0.1			value		false	false
6405	Daily direct energy consumption from PV - Day 21		kWh	uint16be	1	0.1			value		false	false
6406	Daily direct energy consumption from PV - Day 22		kWh	uint16be	1	0.1			value		false	false
6407	Daily direct energy consumption from PV - Day 23		kWh	uint16be	1	0.1			value		false	false
6408	Daily direct energy consumption from PV - Day 24		kWh	uint16be	1	0.1			value		false	false
6409	Daily direct energy consumption from PV - Day 25		kWh	uint16be	1	0.1			value		false	false
6410	Daily direct energy consumption from PV - Day 26		kWh	uint16be	1	0.1			value		false	false
6411	Daily direct energy consumption from PV - Day 27		kWh	uint16be	1	0.1			value		false	false
6412	Daily direct energy consumption from PV - Day 28		kWh	uint16be	1	0.1			value		false	false
6413	Daily direct energy consumption from PV - Day 29		kWh	uint16be	1	0.1			value		false	false
6414	Daily direct energy consumption from PV - Day 30		kWh	uint16be	1	0.1			value		false	false
6415	Daily direct energy consumption from PV - Day 31		kWh	uint16be	1	0.1			value		false	false
6416	Monthly direct energy consumption from PV - January		kWh	uint16be	1	0.1			value		false	false
6417	Monthly direct energy consumption from PV - February		kWh	uint16be	1	0.1			value		false	false
6418	Monthly direct energy consumption from PV - March		kWh	uint16be	1	0.1			value		false	false
6419	Monthly direct energy consumption from PV - April		kWh	uint16be	1	0.1			value		false	false
6420	Monthly direct energy consumption from PV - May		kWh	uint16be	1	0.1			value		false	false
6421	Monthly direct energy consumption from PV - June		kWh	uint16be	1	0.1			value		false	false
6422	Monthly direct energy consumption from PV - July		kWh	uint16be	1	0.1			value		false	false
6423	Monthly direct energy consumption from PV - August		kWh	uint16be	1	0.1			value		false	false
6424	Monthly direct energy consumption from PV - September		kWh	uint16be	1	0.1			value		false	false
6425	Monthly direct energy consumption from PV - October		kWh	uint16be	1	0.1			value		false	false
6426	Monthly direct energy consumption from PV - November		kWh	uint16be	1	0.1			value		false	false
6427	Monthly direct energy consumption from PV - December		kWh	uint16be	1	0.1			value		false	false
6428	Yearly direct energy consumption from PV - Year 1	2030	kWh	uint32sw	2	0.1			value		false	false
6430	Yearly direct energy consumption from PV - Year 2	2031	kWh	uint32sw	2	0.1			value		false	false
6432	Yearly direct energy consumption from PV - Year 3	2032	kWh	uint32sw	2	0.1			value		false	false
6434	Yearly direct energy consumption from PV - Year 4	2033	kWh	uint32sw	2	0.1			value		false	false
6436	Yearly direct energy consumption from PV - Year 5	2034	kWh	uint32sw	2	0.1			value		false	false
6438	Yearly direct energy consumption from PV - Year 6	2035	kWh	uint32sw	2	0.1			value		false	false
6440	Yearly direct energy consumption from PV - Year 7	2036	kWh	uint32sw	2	0.1			value		false	false
6442	Yearly direct energy consumption from PV - Year 8	2037	kWh	uint32sw	2	0.1			value		false	false
6444	Yearly direct energy consumption from PV - Year 9	2038	kWh	uint32sw	2	0.1			value		false	false
6446	Yearly direct energy consumption from PV - Year 10	2024	kWh	uint32sw	2	0.1			value		false	false
6448	Yearly direct energy consumption from PV - Year 11	2025	kWh	uint32sw	2	0.1			value		false	false
6450	Yearly direct energy consumption from PV - Year 12	2026	kWh	uint32sw	2	0.1			value		false	false
6452	Yearly direct energy consumption from PV - Year 13	2027	kWh	uint32sw	2	0.1			value		false	false
6454	Yearly direct energy consumption from PV - Year 14	2028	kWh	uint32sw	2	0.1			value		false	false
6456	Yearly direct energy consumption from PV - Year 15	2029	kWh	uint32sw	2	0.1			value		false	false
6458	Yearly direct energy consumption from PV - reserved		kWh	uint32sw	2	0.1			value		false	false
6460	Yearly direct energy consumption from PV - reserved		kWh	uint32sw	2	0.1			value		false	false
6462	Yearly direct energy consumption from PV - reserved		kWh	uint32sw	2	0.1			value		false	false
6464	Yearly direct energy consumption from PV - reserved		kWh	uint32sw	2	0.1			value		false	false
6466	Yearly direct energy consumption from PV - reserved		kWh	uint32sw	2	0.1			value		false	false
6468	Export power from PV of today - Day 1		W	uint16be	1				value		false	false
6469	Export power from PV of today - Day 2		W	uint16be	1				value		false	false
6470	Export power from PV of today - Day 3		W	uint16be	1				value		false	false
